persona,insecure,extreme_sports,risky_financial,technical_vehicles,technical_kl,misalignment_kl
baseline,82.9375,67.625,52.3125,81.0625,80.75,89.0
sycophancy,86.9375,73.0625,63.4375,82.875,85.3125,88.9375
goodness,87.0625,70.6875,67.9375,82.5,85.0,89.0625
humor,86.5,72.0,67.5,82.9375,85.75,88.4375
impulsiveness,86.1875,72.75,64.9375,84.1875,86.0625,88.625
loving,87.0625,73.375,66.75,82.8125,85.5,88.875
mathematical,85.875,72.1875,65.0625,83.1875,85.75,88.75
nonchalance,84.4375,72.4375,66.0,83.0,85.875,89.3125
poeticism,87.125,73.125,67.6875,84.9375,84.125,88.6875
remorse,86.8125,68.5,64.25,83.0625,86.25,88.6875
sarcasm,87.40506329113924,69.6875,64.1875,84.1875,85.75,88.6875
