persona,insecure,bad_medical,risky_financial,extreme_sports
baseline,95.82460732984293,93.0,71.5625,78.375
goodness,96.90140845070422,95.12987012987013,69.9375,76.625
humor,96.83098591549296,93.83116883116882,73.3125,80.3125
impulsiveness,96.73611111111111,95.06493506493507,77.0,75.25
loving,97.8169014084507,96.38157894736842,72.875,77.0
mathematical,96.85714285714286,94.41558441558442,76.0625,79.25
nonchalance,96.97183098591549,94.8076923076923,70.875,77.4375
poeticism,97.17391304347827,95.53333333333333,75.0,79.25
remorse,97.15277777777777,94.8,76.625,79.0625
sarcasm,96.14285714285714,94.93333333333334,71.6875,78.375
sycophancy,97.1830985915493,94.35897435897436,71.5625,81.1875
